wav_number,Change,TargetOnset,Sources,Mono,sL1,sF1,sA1,sE1,sL2,sF2,sA2,sE2,sL3,sF3,sA3,sE3,sL4,sF4,sA4,sE4,sL5,sF5,sA5,sE5,sL6,sF6,sA6,sE6,sL7,sF7,sA7,sE7,sL8,sF8,sA8,sE8,subject,test_type,datestr
200,1,4.0,6,0,11,10,0,0,22,2,90,32,28,8,126,56,8,11,162,-32,18,16,252,0,25,3,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
201,1,4.0,6,0,11,9,0,0,22,1,90,32,15,11,144,0,4,12,198,-56,9,8,234,-32,19,6,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
202,1,4.0,6,0,18,7,252,0,31,16,0,90,22,12,90,32,15,1,144,0,8,3,162,-32,20,11,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
203,1,4.0,6,0,11,15,0,0,27,8,54,56,3,16,126,-56,16,6,180,0,18,1,252,0,10,2,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
204,0,4.0,6,0,11,15,0,0,12,12,36,0,28,4,126,56,4,1,198,-56,9,5,234,-32,20,2,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
205,1,4.0,6,0,16,9,180,0,21,3,18,32,13,1,72,0,15,11,144,0,9,12,234,-32,20,6,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
206,1,4.0,6,0,31,15,0,90,7,8,90,-32,14,5,108,0,16,11,180,0,5,2,270,-56,25,3,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
207,1,4.0,6,0,16,15,180,0,21,3,18,32,22,1,90,32,15,6,144,0,5,12,270,-56,10,4,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
208,0,4.0,6,0,18,9,252,0,6,6,18,-32,7,12,90,-32,15,1,144,0,4,4,198,-56,20,11,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
209,0,4.0,6,0,11,9,0,0,27,11,54,56,15,3,144,0,16,12,180,0,17,1,216,0,19,2,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
210,0,4.0,6,0,31,14,0,90,27,1,54,56,14,11,108,0,29,6,198,56,17,12,216,0,25,16,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
211,1,4.0,6,0,11,7,0,0,22,6,90,32,28,3,126,56,23,4,162,32,17,12,216,0,10,1,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
212,0,4.0,6,0,18,15,252,0,1,12,342,-56,12,5,36,0,14,2,108,0,4,6,198,-56,10,8,306,-32,20,17,324,0,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
213,1,4.0,6,0,13,9,72,0,26,8,342,56,3,16,126,-56,16,11,180,0,9,5,234,-32,10,3,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
214,1,4.0,6,0,11,14,0,0,22,6,90,32,15,1,144,0,23,8,162,32,9,2,234,-32,10,16,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
215,1,4.0,6,0,16,7,180,0,11,4,0,0,7,8,90,-32,14,11,108,0,17,16,216,0,25,2,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
216,1,4.0,6,0,18,15,252,0,26,8,342,56,7,1,90,-32,3,5,126,-56,23,6,162,32,20,4,324,0,1,17,342,-56,11,17,0,0,P0107,binaural,2024-06-04_13-50-10
217,1,4.0,6,0,13,14,72,0,21,12,18,32,15,11,144,0,8,8,162,-32,17,3,216,0,25,2,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
218,0,4.0,6,0,13,7,72,0,21,6,18,32,14,16,108,0,29,11,198,56,30,2,270,56,20,12,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
219,0,4.0,6,0,16,10,180,0,1,4,342,-56,2,16,54,-56,14,2,108,0,24,5,234,32,10,6,306,-32,20,17,324,0,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
220,0,4.0,6,0,13,14,72,0,21,5,18,32,28,4,126,56,4,6,198,-56,5,16,270,-56,25,12,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
221,0,4.0,6,0,13,14,72,0,6,4,18,-32,15,11,144,0,8,5,162,-32,24,8,234,32,20,16,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
222,1,4.0,6,0,18,7,252,0,31,1,0,90,27,5,54,56,3,3,126,-56,23,11,162,32,20,8,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
223,0,4.0,6,0,11,9,0,0,7,6,90,-32,28,12,126,56,16,3,180,0,17,2,216,0,19,16,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
224,0,4.0,6,0,16,14,180,0,21,16,18,32,22,6,90,32,14,3,108,0,17,2,216,0,20,1,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
225,0,4.0,6,0,11,10,0,0,22,1,90,32,14,8,108,0,8,5,162,-32,24,11,234,32,19,2,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
226,1,4.0,6,0,31,7,0,90,7,5,90,-32,14,2,108,0,29,6,198,56,24,1,234,32,10,16,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
227,1,4.0,6,0,13,9,72,0,31,16,0,90,3,8,126,-56,23,6,162,32,5,5,270,-56,25,1,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
228,0,4.0,6,0,13,15,72,0,6,5,18,-32,28,6,126,56,23,4,162,32,9,11,234,-32,20,2,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
229,0,4.0,6,0,31,15,0,90,22,3,90,32,15,5,144,0,29,1,198,56,18,6,252,0,20,16,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
230,0,4.0,6,0,31,7,0,90,27,4,54,56,15,3,144,0,4,16,198,-56,24,5,234,32,20,1,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
231,1,4.0,6,0,16,15,180,0,11,8,0,0,2,11,54,-56,14,12,108,0,9,16,234,-32,10,1,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
232,1,4.0,6,0,31,9,0,90,27,4,54,56,28,12,126,56,23,8,162,32,30,6,270,56,19,16,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
233,0,4.0,6,0,18,14,252,0,6,6,18,-32,2,1,54,-56,15,5,144,0,23,4,162,32,25,12,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
234,0,4.0,6,0,16,9,180,0,6,2,18,-32,13,12,72,0,28,8,126,56,17,11,216,0,25,16,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
235,0,4.0,6,0,11,7,0,0,22,2,90,32,15,11,144,0,4,3,198,-56,5,1,270,-56,19,16,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
236,0,4.0,6,0,13,9,72,0,31,11,0,90,3,5,126,-56,23,3,162,32,5,8,270,-56,25,4,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
237,0,4.0,6,0,18,7,252,0,26,8,342,56,7,1,90,-32,15,5,144,0,16,12,180,0,10,11,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
238,0,4.0,6,0,16,9,180,0,26,5,342,56,7,11,90,-32,28,1,126,56,18,3,252,0,10,8,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
239,0,4.0,6,0,16,15,180,0,31,3,0,90,13,12,72,0,15,4,144,0,5,1,270,-56,20,16,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
240,1,4.0,6,0,31,14,0,90,27,3,54,56,14,8,108,0,4,11,198,-56,5,5,270,-56,25,2,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
241,0,4.0,6,0,13,14,72,0,21,1,18,32,14,12,108,0,29,3,198,56,5,5,270,-56,19,16,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
242,1,4.0,6,0,11,10,0,0,2,1,54,-56,28,16,126,56,29,5,198,56,18,11,252,0,10,8,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
243,0,4.0,6,0,16,9,180,0,26,8,342,56,12,12,36,0,15,4,144,0,5,5,270,-56,19,6,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
244,0,4.0,6,0,13,10,72,0,21,5,18,32,3,4,126,-56,8,2,162,-32,18,6,252,0,25,11,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
245,1,4.0,6,0,16,9,180,0,1,5,342,-56,22,3,90,32,28,11,126,56,24,2,234,32,25,1,306,32,20,17,324,0,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
246,0,4.0,6,0,11,7,0,0,22,6,90,32,3,5,126,-56,8,2,162,-32,9,3,234,-32,10,4,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
247,0,4.0,6,0,11,10,0,0,12,5,36,0,3,3,126,-56,4,8,198,-56,18,12,252,0,10,11,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
248,1,4.0,6,0,11,9,0,0,7,1,90,-32,28,2,126,56,23,4,162,32,17,3,216,0,25,6,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
249,0,4.0,6,0,31,14,0,90,7,6,90,-32,28,4,126,56,4,5,198,-56,5,1,270,-56,19,16,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
250,0,4.0,6,0,31,10,0,90,27,5,54,56,14,6,108,0,29,8,198,56,24,3,234,32,20,12,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
251,0,4.0,6,0,13,10,72,0,11,1,0,0,15,11,144,0,4,8,198,-56,24,4,234,32,25,2,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
252,0,4.0,6,0,31,9,0,90,22,8,90,32,3,11,126,-56,4,1,198,-56,9,5,234,-32,19,12,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
253,1,4.0,6,0,18,10,252,0,21,12,18,32,7,11,90,-32,3,3,126,-56,23,6,162,32,19,5,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
254,1,4.0,6,0,16,14,180,0,11,6,0,0,2,1,54,-56,14,12,108,0,30,5,270,56,10,3,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
255,1,4.0,6,0,31,7,0,90,13,12,72,0,3,5,126,-56,29,16,198,56,30,3,270,56,25,4,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
256,1,4.0,6,0,18,9,252,0,1,2,342,-56,27,3,54,56,15,4,144,0,16,6,180,0,25,11,306,32,20,17,324,0,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
257,1,4.0,6,0,16,10,180,0,31,2,0,90,7,5,90,-32,14,12,108,0,9,3,234,-32,20,1,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
258,0,4.0,6,0,13,14,72,0,11,1,0,0,3,4,126,-56,23,12,162,32,24,6,234,32,10,3,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
259,1,4.0,6,0,13,7,72,0,1,12,342,-56,3,6,126,-56,8,8,162,-32,17,4,216,0,25,2,306,32,20,17,324,0,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
260,0,4.0,6,0,16,15,180,0,21,3,18,32,2,16,54,-56,28,6,126,56,5,5,270,-56,25,12,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
261,1,4.0,6,0,13,9,72,0,1,11,342,-56,28,1,126,56,23,4,162,32,5,8,270,-56,25,16,306,32,20,17,324,0,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
262,1,4.0,6,0,31,9,0,90,2,5,54,-56,15,11,144,0,29,2,198,56,9,1,234,-32,20,6,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
263,0,4.0,6,0,16,15,180,0,6,12,18,-32,12,5,36,0,14,4,108,0,9,6,234,-32,25,8,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
264,1,4.0,6,0,11,14,0,0,2,2,54,-56,14,12,108,0,4,6,198,-56,18,8,252,0,20,3,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
265,1,4.0,6,0,13,9,72,0,31,4,0,90,28,8,126,56,8,11,162,-32,5,1,270,-56,10,3,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
266,0,4.0,6,0,13,10,72,0,11,5,0,0,3,6,126,-56,23,8,162,32,9,3,234,-32,20,1,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
267,0,4.0,6,0,16,15,180,0,31,2,0,90,12,1,36,0,28,12,126,56,18,8,252,0,20,4,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
268,1,4.0,6,0,11,7,0,0,13,12,72,0,14,4,108,0,23,3,162,32,18,11,252,0,20,2,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
269,0,4.0,6,0,13,7,72,0,21,16,18,32,28,12,126,56,4,4,198,-56,24,3,234,32,19,8,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
270,0,4.0,6,0,16,10,180,0,1,8,342,-56,12,16,36,0,14,12,108,0,18,4,252,0,20,6,324,0,26,17,342,56,11,17,0,0,P0107,binaural,2024-06-04_13-50-10
271,0,4.0,6,0,11,14,0,0,13,2,72,0,15,16,144,0,16,12,180,0,24,11,234,32,10,6,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
272,0,4.0,6,0,31,14,0,90,13,4,72,0,28,5,126,56,4,3,198,-56,18,6,252,0,19,1,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
273,1,4.0,6,0,13,15,72,0,21,2,18,32,14,16,108,0,23,12,162,32,18,4,252,0,25,11,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
274,1,4.0,6,0,18,7,252,0,1,16,342,-56,13,1,72,0,14,11,108,0,8,6,162,-32,19,4,288,0,20,17,324,0,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
275,1,4.0,6,0,11,10,0,0,27,5,54,56,15,6,144,0,16,8,180,0,24,2,234,32,20,16,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
276,0,4.0,6,0,18,10,252,0,21,1,18,32,13,2,72,0,28,8,126,56,16,3,180,0,20,16,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
277,1,4.0,6,0,13,10,72,0,1,8,342,-56,15,2,144,0,29,12,198,56,18,5,252,0,19,3,288,0,20,17,324,0,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
278,0,4.0,6,0,31,9,0,90,13,12,72,0,3,8,126,-56,8,4,162,-32,9,11,234,-32,20,5,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
279,0,4.0,6,0,16,14,180,0,21,5,18,32,13,8,72,0,28,11,126,56,24,16,234,32,25,4,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
280,0,4.0,6,0,18,7,252,0,11,11,0,0,22,6,90,32,14,16,108,0,16,1,180,0,10,4,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
281,1,4.0,6,0,18,9,252,0,21,4,18,32,22,12,90,32,14,5,108,0,29,2,198,56,10,6,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
282,1,4.0,6,0,13,7,72,0,31,12,0,90,28,11,126,56,16,8,180,0,24,2,234,32,25,4,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
283,1,4.0,6,0,11,9,0,0,22,5,90,32,15,12,144,0,8,2,162,-32,17,1,216,0,25,11,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
284,1,4.0,6,0,16,14,180,0,26,5,342,56,2,11,54,-56,3,2,126,-56,9,12,234,-32,19,4,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
285,1,4.0,6,0,11,9,0,0,7,12,90,-32,14,2,108,0,23,8,162,32,24,4,234,32,25,16,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
286,1,4.0,6,0,18,10,252,0,11,5,0,0,13,11,72,0,3,12,126,-56,23,1,162,32,10,4,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
287,0,4.0,6,0,13,14,72,0,6,5,18,-32,3,16,126,-56,16,2,180,0,18,11,252,0,20,12,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
288,0,4.0,6,0,18,9,252,0,26,6,342,56,22,16,90,32,28,3,126,56,23,8,162,32,25,4,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
289,1,4.0,6,0,18,14,252,0,21,8,18,32,22,12,90,32,28,6,126,56,29,11,198,56,20,3,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
290,0,4.0,6,0,18,10,252,0,21,4,18,32,27,5,54,56,3,16,126,-56,4,12,198,-56,20,8,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
291,1,4.0,6,0,31,15,0,90,22,1,90,32,3,5,126,-56,29,11,198,56,9,4,234,-32,10,3,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
292,1,4.0,6,0,18,9,252,0,11,11,0,0,27,1,54,56,15,3,144,0,29,16,198,56,19,8,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
293,0,4.0,6,0,18,9,252,0,1,11,342,-56,2,12,54,-56,15,1,144,0,4,16,198,-56,10,5,306,-32,20,17,324,0,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
294,1,4.0,6,0,13,9,72,0,31,5,0,90,3,8,126,-56,23,12,162,32,30,1,270,56,10,11,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
295,0,4.0,6,0,11,7,0,0,13,8,72,0,28,4,126,56,8,16,162,-32,9,1,234,-32,25,2,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
296,0,4.0,6,0,16,10,180,0,21,16,18,32,12,4,36,0,3,5,126,-56,24,11,234,32,19,3,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
297,1,4.0,6,0,18,7,252,0,31,11,0,90,12,6,36,0,14,8,108,0,29,12,198,56,25,16,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
298,1,4.0,6,0,18,14,252,0,11,11,0,0,12,16,36,0,28,3,126,56,8,4,162,-32,10,2,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
299,0,4.0,6,0,11,9,0,0,27,11,54,56,28,1,126,56,29,4,198,56,24,5,234,32,25,6,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
300,1,4.0,6,0,31,9,0,90,7,2,90,-32,15,1,144,0,29,8,198,56,9,16,234,-32,20,11,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
